name
Prof. Dr. Knut Blind
Brigitte Essoun
"Moritz Böhmecke-Schwafert, M.Sc."
"Janire Clavell, M.Sc."
Prof. Dr.
Cristina Fróes de Borja Reis
"Philipp Heß, M.Sc."
"Luana Ladu, M.Sc."
"Florian Anselm Münch, M.Sc."
"Michael Nauruschat, M.Sc."
"Jakob Pohlisch, M.Sc."
Dr. Rainer Quitzow
Dr. Simone Wurster
"Dhandy Arisaktiwardhana, M.Sc."
Kirstin Bosbach
"Yulia Fedorovich, M.A."
Esmeralda Flórez Ramos
"Elena Fomenko, M.Sc."
"Paul von Gruben, M.Sc."
"Syuan-Yi Jiang, M.B.A."
"Miriam Krüger, M.Sc."
"Maximilian von Laer, M.Sc."
"Crispin Niebel, M.A., MSc."
"Nadine Nunberger, MLB WHU"
"Anna Pohle, M.Sc."
"Biatna Dulbert Tampubolon, M.S."
Nada Hamila
Laura Marino Ruiz
Friederike Tietze
Fanny Wagner
Daniel Wulf-Misaki
Dipl.-Kfm. Mirko Böhm
Dr. Tilman Denkler
Dr. Albert Hövel
Dipl. Betriebsw. Suat Coskun
Davis Eisape
Dipl.-Betriebsw. Ellen Filipovic
"Frank Hofmann, Dipl.-Ing., MBA"
Dipl.-Betriebsw. Hans Jaich
Dipl.-Kffr. LL.M.oec. Claudia Koch
"Hyae Ryung Kim, M.Sc."
Dipl.-Jur. Dipl.-Pol. Martin Löhe
"Dipl.-Kffr., M.Sc. Mona Mirtsch"
Dipl.-Kfm. Cem Misirlioglu
Dipl.-Wirtschaftsinf. Sebastian J. Surma
Dr. Florian Berger
Dr. Alexander Cuntz
Dr. Friedrich Dornbusch
Dr. Sebastian Fischer
Dr. Carl Benedikt Frey
Dr. Stephan Gauch
Dr. Kerstin Goluchowicz
Matti Große
Dr. Anne-Marie Großmann
Dr. Juliane Hartig
Prof. Dr. Sarah Jastram
Dr. Victoria Kayser
Dr. Annika Lorenz
Dr. Axel Mangelsdorf
Dipl.-Ing. Jakob Marquard
Dr. Peter Neuhäusler
Dr. Marianne Paasi
Dr. Jan Peuckert
"Dipl.-Pol., Mag.rer.publ. Annika Philipps"
Dr. Tim Pohlmann
Dr. Anne Rainville
Dr. Florian Ramel
Dr. Julius Rauber
Dr.
Michael Raven
Jun.-Prof. Theresa Veer
Dr.
Geerten van de Kaa
Dr. Mike Weber
"Fang Fang, PhD"
"Olia Kanevskaia, LLM."
Ms. Prof. Suli Zheng
Almona Tani
Raquel Orcos Sánchez
Rahul Kapoor
Bolotbek Nurmatov
"Dong-hyu Kim, MGES"
Inés Le Goaziou
"Paul Moritz Wiegmann, M.Sc."
"Aleksandra Skorupinska, M.Sc."
"Cesare Riillo, PhD"
"Qinghai LI, PhD"
Abigail Paul
Inés Le Goaziou
Dr. Arfan Bakhtiar
Christian Burmann
Dr. Helge Dauchert
Dr. Jorge F. Dias Braganca
de Goncalves
Dr. Andre Hermanns
Dipl.-Volksw. Katja Hillmann
"Stefan Keitel, M.A."
Dr. Petra Meurer
"Jacob Müller, M.Sc."
"Jo-Ann Müller, M.A."
Dr. Sören S. Petersen
Dr. Gero Stenke
Dipl.-Kffrau Birgit Trogisch
